Bomb Blasts Occurred,Building condition satisfactory,Color By Measure Value,Analysis Level Selector,Complete Primary Schools,Drinking water,Education score
27,31.575,86.515,AJK,325,36.93909348,80.745
27,53.62,78.94,AJK,246,56.261959,79.35
27,15.755,93.69,AJK,262,42.89051095,80.44
27,10.355,94.545,AJK,158,39.97849462,79.545
27,59.03,97.695,AJK,449,36.63213811,79.925
27,68.925,88.44,AJK,255,66.43627451,74.02
27,29.705,77.165,AJK,603,38.55974843,65.69
27,44.575,85.165,AJK,160,45.3255814,71.5
27,30.59,96.235,AJK,476,23.97335702,74.345
27,72.075,90.235,AJK,251,21.90340909,71.08
27,45.60747573,76.23,Balochistan,52,74.04878049,46.345
27,16.98702128,64.175,Balochistan,0,27.15836299,52.35
27,17.1507513,86.57,Balochistan,73,71.08080808,55.98
27,35.58785714,55.695,Balochistan,180,55.47670251,30.905
27,19.52830049,94.015,Balochistan,53,46.53658537,75.24
27,55.6360274,56.85,Balochistan,41,64.28169014,61.705
27,22.63736264,82.85,Balochistan,71,66.88929001,61.31
27,6.000172414,74.46,Balochistan,48,59.26923077,67.845
27,16.0279558,69.33,Balochistan,88,36.51098901,56.84
27,12.38040541,80.035,Balochistan,91,46.66212534,56.845
27,23.43144068,83.975,Balochistan,225,53.25902336,59.34
27,12.78409091,89.805,Balochistan,10,44.13953488,71.23
27,35.04921053,81.04,Balochistan,203,57.72045855,66.545
27,15.79475309,55.8,Balochistan,85,50.88613861,45.63
27,29.06619048,74.905,Balochistan,17,72.92519685,66.095
27,33.27186352,61.7,Balochistan,0,53.31203008,63.68
27,27.87359833,82.81,Balochistan,188,62.57651992,59.225
27,38.99146962,76.28,Balochistan,0,56.34033613,59.835
27,35.20935374,79.155,Balochistan,119,39.02749141,60.83
27,20.69996063,70.32,Balochistan,0,30.54581673,48.885
27,14.04784689,49.525,Balochistan,0,69.75301205,58.61
27,48.7607947,85.67,Balochistan,87,60.87662338,61.795
27,31.85737589,73.045,Balochistan,190,68.78873239,58.19
27,29.23853403,77.27,Balochistan,120,63.61271298,63.155
27,42.98417293,91.675,Balochistan,293,56.48424069,75.31
27,35.19468354,54.475,Balochistan,2,36.82258065,50.535
27,26.23402439,87.21,Balochistan,76,57.57281553,64.12
27,45.71428571,65.295,Balochistan,27,54.84042553,38.835
27,34.71400356,63.22,Balochistan,45,38,38.41
27,28.57142857,77.685,Balochistan,39,16.58986175,41.745
27,9.538406193,74.325,FATA,467,36.32116788,66.27
27,13.18004983,85.17,FATA,322,50.87288136,56.51
27,30.0652459,54.495,FATA,117,39.08333333,37.12
27,12.2937931,38.15,FATA,139,31.75,30.71
27,5.357142857,79.125,FATA,94,32.02439024,60.42
27,1.171875,63.165,FATA,143,63.953125,54.355
